Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-72.14894936920891,180,-13.27120564359757,0
4.8828125,-72.54168734023683,9.289093127167392,-13.58015945713886,179.9713272518999
9.765625,-75.35297684765452,29.59251955591776,-17.08027585497038,179.927319133791
14.6484375,-79.54459392712862,69.60222945416706,-27.52571883866725,179.7044647302856
19.53125,-81.33507337736468,91.53970244723878,-50.53339987900323,177.1592728797098
24.4140625,-83.28443817192679,77.98349641656957,-80.90976293718569,23.90336443407821
29.296875,-84.39511867668389,54.90924889370324,-80.16549888037034,178.5325267791298
34.1796875,-85.88855737737717,48.63342429013262,-82.22443338641087,169.1834212548125
39.0625,-87.12161301446176,67.45430121182984,-87.29758341734109,152.164884661498
43.9453125,-86.03140239967901,92.91943475302422,-104.1359066302129,27.12483015756168
48.828125,-84.06984405617422,112.4546538951954,-88.60646459901182,142.9776353461613
53.7109375,-82.67672366127123,117.5997615846169,-83.95734397505163,136.3749714574536
58.59375,-84.99846674205165,114.033786046671,-83.34557776930764,106.6699350366723
63.4765625,-90.2911322583855,111.0108602610609,-81.63921103739588,79.39010665879013
68.359375,-91.34547504769657,109.5283757628739,-77.68606634634938,69.73973488022797
73.2421875,-89.82933485342814,116.0614907544367,-75.06320902438367,62.82355876513436
78.125,-88.51026640530614,128.7944170221807,-73.64396554471675,60.99007952969828
83.0078125,-88.09540652608844,130.6322350118785,-71.88478021270848,62.65106225184118
87.890625,-90.93048137905554,128.5604259058385,-72.45312572864945,61.59851843827627
92.7734375,-102.3884737725194,154.3689825466325,-77.37577573274196,60.43180292861512
97.65625,-94.77235378176117,83.7902917612827,-85.90686877183848,53.52663769171715
102.5390625,-90.13138248867249,82.09275671174332,-96.42486326914346,41.80902025273924
107.421875,-89.42383467248042,70.79605760726712,-103.4998791147201,85.35409173162526
112.3046875,-88.47586069176933,56.33497786120383,-89.6616773121262,50.74789001414489
117.1875,-86.70139932395408,60.69496491216515,-80.42590460978357,62.70948596904198
122.0703125,-85.29167420681604,77.95135081903244,-77.08126497192293,70.67202238927736
126.953125,-86.05875239049135,84.89080366811962,-77.8660711902036,77.26152926384752
131.8359375,-87.52100449768129,80.6370338716028,-79.62886941904881,86.95905995930889
136.71875,-86.70031896870368,75.75854827426532,-83.88162739296723,86.51960575408022
