Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-62.92928230634881,180,-4.88363381174278,180
4.8828125,-63.22647271475341,0.6918364289692975,-5.190718745327111,0.07711003538779117
9.765625,-66.69286994045999,1.962010273768956,-8.686028285785396,0.1155272083618931
14.6484375,-76.80627024276808,2.095429459587544,-19.11083733322928,0.4379714614159998
19.53125,-87.45715519890103,1.033983609865748,-41.33247329378632,14.93717867728599
24.4140625,-88.66524914559868,12.57505332908085,-49.9137252510025,84.11369929542897
29.296875,-89.0225551719417,168.8590646092299,-49.90313893865036,87.7886700101276
34.1796875,-89.2364454409328,174.2901904511074,-50.14882747066208,88.6163151847804
39.0625,-89.70928957577337,17.34203202528992,-51.18085568290801,90.06385414659546
43.9453125,-89.43812880935479,11.78625108370117,-51.81357389643721,101.4071244359434
48.828125,-89.18775447989889,7.41384469211331,-51.82279817846514,113.6985703582739
53.7109375,-88.90260125395842,7.142955904943113,-51.76007846490905,115.9414299122937
58.59375,-88.82533513045927,69.30386550971504,-51.28183074401038,115.9295068060419
63.4765625,-88.92963349925218,76.84864019858635,-50.78180788923565,121.171849822
68.359375,-88.98395855414964,83.44069058158178,-50.59784543571298,116.5422507463626
73.2421875,-89.13129199883728,90.16702583204962,-50.34514399176524,35.53616129104876
78.125,-89.17101990474721,87.28169785991959,-50.50175036871683,136.7137020787223
83.0078125,-89.40617595205148,56.896175490101,-50.90395892897891,114.8574684289097
87.890625,-89.55809047018397,178.0143515777699,-50.74587583212753,109.3792304750222
92.7734375,-89.26376323314939,170.4851787316217,-50.3081811341636,124.5540197415524
97.65625,-89.01798047060824,169.3343655518402,-50.35922766999508,28.27204956097182
102.5390625,-88.79867258887613,166.5296575268873,-50.68247529536067,74.95202778551588
107.421875,-89.07556786295075,144.4161445998704,-51.31234462211783,86.43283302489891
112.3046875,-89.31801286006795,98.00002002712962,-51.53230149460783,95.54847817757064
117.1875,-89.07960672272394,79.76674688452366,-50.92162442959751,106.5216182303408
122.0703125,-88.8832191438257,74.44125862963097,-50.60240631884848,126.6746021695604
126.953125,-88.8088339516498,62.1126038865694,-50.48778310469583,176.92673302887
131.8359375,-88.81012136116198,174.4896733034633,-50.71362290596196,29.3307850048893
136.71875,-89.07069165071474,71.38375845404781,-50.94617340994493,83.77746194423433
141.6015625,-89.66725731338721,69.57573891226808,-50.92936864249597,114.2959623198472
146.484375,-89.69133224486919,48.77705210264143,-50.73857516496031,126.9152182575034
151.3671875,-89.46037623030386,5.773878549580423,-50.77913228109784,146.0357883424008
156.25,-89.78637954190273,1.65158300999854,-51.03286208628646,164.017922894348
161.1328125,-89.76205616913845,13.57843442666,-51.2380002047184,30.5452763588784
166.015625,-89.65102879592988,27.89980221969111,-51.041123802762,64.82700656935612
170.8984375,-89.44904440826397,27.85683725341956,-50.89979802940089,48.92677417005037
175.78125,-88.97833408660753,13.16770578875191,-50.75850075184267,154.3402324765229
180.6640625,-88.75859408059149,57.14926425178604,-50.79253541950174,109.6951345695943
185.546875,-88.9161069191087,35.64759206310385,-51.07714534640016,84.9313603057394
190.4296875,-89.36091435668878,28.81908328690199,-51.22126555771702,75.98421864172626
195.3125,-89.51417472868202,27.53700881457007,-51.347629091979,69.78449111462884
200.1953125,-89.57249177677534,37.68055322102079,-51.01751422707646,71.56142280026785
205.078125,-89.46120030349319,133.1222659810565,-50.99465869462357,86.52443098370955
209.9609375,-89.28357040321239,152.8710724118456,-50.90245527545036,90.53357594431371
214.84375,-89.24009323060899,152.1640889232055,-50.79307119060287,92.60099794647685
219.7265625,-89.39582954773084,179.4388446916028,-50.87619641075217,103.9086040650314
224.609375,-89.97380175559952,21.24100805682077,-51.12261889386551,106.4954907625742
229.4921875,-90.36925049522381,14.17279852302047,-50.91388886863716,120.5832746536815
234.375,-89.88837537684029,14.23124944661351,-50.99819934777189,155.9220245877876
239.2578125,-89.39471545466829,12.67273843696851,-50.8748111445701,22.65695618414981
244.140625,-89.35011156979317,174.0217979739284,-50.52902488607707,62.25008174927535
249.0234375,-89.20463284834085,151.772070941252,-50.16467245129994,85.00853898064523
253.90625,-88.97669873841282,135.3090854951453,-49.69101347550711,99.81873014563149
258.7890625,-89.20692329843109,110.7157822416568,-49.673382141548,116.2410045865897
263.671875,-89.36410183992396,90.87283907924547,-49.90981300366231,128.6058806291373
268.5546875,-89.37448317509079,75.36101894284251,-50.15959500976169,119.4863881329085
273.4375,-89.53565566754426,118.0142694047895,-50.34396821471645,97.99259776339026
278.3203125,-89.66222267340376,128.4140462555834,-50.49226886397481,79.37602894534072
283.203125,-89.63975086977045,171.6011890873963,-50.71778695218043,76.21669427117996
288.0859375,-89.36982718997251,0.5475810277525214,-50.78694179657604,82.97683324888654
292.96875,-89.30514387706049,176.7547102909084,-50.50946579592803,92.36214749828703
297.8515625,-89.31643893841431,2.61452291051073,-50.72567517275161,104.547773877312
302.734375,-89.09233058247727,19.43283450279095,-50.54227682471772,129.6391791233712
307.6171875,-89.14533412643283,28.76594676061277,-50.53930726224806,170.4078823018118
312.5,-89.11584011161179,31.11321886879252,-50.57730158009661,28.05244777329164
317.3828125,-89.08901571447515,28.15046636994972,-50.23951227282553,46.2851069029346
322.265625,-89.17908773618718,30.42467550821054,-50.02335354297961,56.53639559058304
327.1484375,-89.1853707996775,170.9062169902592,-49.99158343895062,127.2227065059007
332.03125,-89.1850784523788,24.30744441622121,-50.48607236509278,139.448551653494
336.9140625,-89.12620298011198,30.7099619590373,-50.82799158193335,138.5685706567023
341.796875,-89.15583810607316,39.47164298878895,-50.71685424239359,126.4956378532435
346.6796875,-89.36901475080273,97.29973251769444,-50.6419310625639,107.8925484380055
351.5625,-89.70956002414381,122.2833660403449,-50.69568955108753,108.4324198497555
356.4453125,-89.68217565555692,170.7352811660958,-50.90159123843111,114.113022109499
361.328125,-89.34000973667553,73.12628931298364,-51.0325069369793,110.3471156754289
366.2109375,-88.94823441555519,94.90283781228933,-50.89073274978186,59.90265218592612
371.09375,-89.02820118461059,99.25821144482936,-50.92116251094312,144.6865301496029
375.9765625,-89.23919079691161,100.2027888886669,-50.80241228289498,137.5016863756385
380.859375,-89.59836872076943,117.9715386970085,-50.97115303954329,128.4629892900633
385.7421875,-89.86728264256664,152.9790548814755,-51.2662443952747,86.8377788325577
390.625,-90.10388661992151,169.315970930277,-51.0878113565777,47.72822139172874
395.5078125,-89.7493522885292,3.053290093811015,-50.9511890422123,26.16669653334608
400.390625,-89.59652738637377,21.32831369573887,-50.97469270201644,2.16425713924499
405.2734375,-89.61014654724903,47.29122923093863,-51.2133904825331,159.9250054820215
410.15625,-89.54763811958563,87.17266480546064,-51.26756091196378,138.0806856694176
415.0390625,-89.16338136945861,99.76589150352117,-51.0215603623293,116.2542776364172
419.921875,-88.93277623939555,109.9101095826,-50.88578157646158,84.8330524620319
424.8046875,-88.72283628127175,112.7124141967411,-51.04962068019258,55.21649406166985
429.6875,-88.87894015775109,103.4538317402056,-51.210597466073,41.72342077090395
434.5703125,-89.46448200131856,91.10216234552421,-50.93369744272358,29.75609063371654
439.453125,-90.31383859821884,86.56139057887999,-50.80872354377604,28.75274587511777
444.3359375,-90.92861058165404,85.24103721660457,-50.44848471852761,52.26300037438911
